shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
p_4496,40.737279443383,-74.072335796295,48,8055.98629439
p_4496,40.736958377626,-74.071162694443,49,8161.29575465
p_4496,40.736574670398,-74.06988435582,50,8277.37898148
p_4496,40.736059669265,-74.068316661377,51,8421.62338174
p_4496,40.735634150223,-74.067195339951,52,8527.47433779
p_4496,40.735090836377,-74.066285189163,53,8625.20328386
p_4496,40.734650354034,-74.065668408737,54,8696.66742399
p_4496,40.734142515297,-74.065079223556,55,8771.88311886
p_4496,40.733891594655,-74.064779969589,56,8809.50546076
p_4496,40.733506901105,-74.064361002655,57,8864.98089951
p_4496,40.733362909491,-74.064188248024,58,8886.62905864
p_4496,40.733162226015,-74.063916781754,59,8918.60581228
p_4496,40.733045900388,-74.063763400139,60,8936.90188242
p_4496,40.732988753574,-74.063505263893,61,8959.61230014
p_4496,40.73295215584,-74.063285034393,62,8978.65467773
p_4496,40.732905409049,-74.063153606152,63,8990.91062707
p_4496,40.732835597238,-74.063044568123,64,9002.94979888
p_4496,40.732434595194,-74.062877111778,65,9049.67336856
p_4496,40.732159436532,-74.062702560852,66,9083.6010772
p_4496,40.731847691706,-74.062352619713,67,9129.12399537
p_4496,40.73132879792,-74.06172774736,68,9207.26976204
p_4496,40.730882915789,-74.061252308212,69,9271.0254572
p_4496,40.730121329155,-74.060447578049,70,9379.53381446
p_4496,40.729536120052,-74.059834238098,71,9462.64772197
p_4496,40.728644136489,-74.058749917999,72,9597.56450387
p_4496,40.727484054322,-74.05756020636,73,9760.95868249
p_4496,40.726803648506,-74.056832476196,74,9858.36896276
p_4496,40.726588151454,-74.05664790213,75,9886.93156382
p_4496,40.726247923226,-74.056498342606,76,9926.77018881
p_4496,40.725976914299,-74.056408173294,77,9957.81449341
p_4496,40.725700256842,-74.056388259277,78,9988.58295043
p_4496,40.725263805463,-74.056200343933,79,10039.58411604
p_4496,40.72477987613,-74.05587636113,80,10099.89283674
p_4496,40.724327219938,-74.055515243408,81,10158.69371682
p_4496,40.723965387034,-74.055106616424,82,10211.66863453
p_4496,40.723575068922,-74.054594683884,83,10272.90066972
p_4496,40.723110383968,-74.053993513245,84,10345.30580129
p_4496,40.722766177983,-74.053387818802,85,10409.17847781
p_4496,40.722485599303,-74.052623919327,86,10480.84548092
p_4496,40.722133042706,-74.051483579376,87,10584.84070747
p_4496,40.721960921226,-74.050522866409,88,10668.22921307
p_4496,40.721699522389,-74.049597424606,89,10751.63236952
p_4496,40.721416253986,-74.048697101852,90,10833.94674586
p_4496,40.721139575941,-74.047801661377,91,10915.60219863
p_4496,40.720880620905,-74.046948813492,92,10993.18466726
p_4496,40.720620372745,-74.046131915344,93,11068.01020217
p_4496,40.72036825777,-74.045240457672,94,11148.36422268
p_4496,40.72000778875,-74.044158002655,95,11248.19746438
p_4496,40.719763844641,-74.043377479832,96,11319.49129355
p_4496,40.719675695876,-74.04307797057,97,11346.62428782
p_4496,40.719616742504,-74.042809749668,98,11370.21311472
p_4496,40.719586419515,-74.042511495701,99,11395.63679445
p_4496,40.719513235912,-74.042476626984,100,11404.28123718
p_4496,40.719219052446,-74.041644338623,101,11481.82005341
p_4496,40.719029394729,-74.04105059259,102,11536.22815258
p_4496,40.718292185025,-74.038833,103,11740.70078121
p_4496,40.717821975948,-74.037399576721,104,11872.59110339
p_4496,40.717392186014,-74.035696101852,105,12024.23005873
p_4496,40.717228317999,-74.034654186508,106,12114.12632508
p_4496,40.717157856744,-74.034271944775,107,12147.35769261
p_4496,40.717071131815,-74.033758825726,108,12191.76987418
p_4496,40.717001922782,-74.033178343586,109,12241.415616
p_4496,40.716897538582,-74.032407939812,110,12307.53421585
p_4496,40.716828417946,-74.032456219574,111,12316.22663432
p_4496,40.716353514742,-74.0280705728,112,12690.52370011
p_4496,40.714447367842,-74.019565052979,113,13439.73062798
p_4496,40.712728855589,-74.011945715622,114,14111.2401222
p_4498,40.73301,-74.06289,1,0
p_4498,40.7327586527011,-74.0633990714521,2,51.26743361
p_4498,40.72658881793,-74.056463791513,3,952.75896152
p_4498,40.7255151028918,-74.0562716631741,4,1073.09326266
p_4498,40.7247472143148,-74.0558630952416,5,1165.08741049
p_4498,40.7240660154229,-74.0552747574153,6,1255.60250268
p_4498,40.7231123252623,-74.0540163681807,7,1405.66626113
p_4498,40.7226540536953,-74.0530684905668,8,1500.5509766
p_4498,40.721968757483,-74.050804744428,9,1706.3929853
p_4498,40.7194983170973,-74.0426570180573,10,2447.43977937
p_4498,40.71966,-74.04245,11,2472.50585604
p_4498,40.7192912947193,-74.0421874885865,12,2519.07160667
p_4498,40.7175202092649,-74.0363997489497,13,3046.15912305
p_4498,40.7174794164882,-74.0360230023564,14,3078.31242465
p_4498,40.7175915965779,-74.0357000767033,15,3108.30679658
p_4498,40.7178057580481,-74.0355520691103,16,3135.17663997
p_4498,40.72699,-74.03383,17,4165.39868324
p_4498,40.7290707629666,-74.0334268772397,18,4398.960802
p_4498,40.7297738227078,-74.0332508050502,19,4478.4389212
p_4498,40.7304309837237,-74.0330680904492,20,4553.03028367
p_4498,40.73086204892,-74.0328852462503,21,4603.32983568
p_4498,40.7312879796433,-74.0325466458839,22,4658.60525002
p_4498,40.7317006171972,-74.0321325120132,23,4716.25620875
p_4498,40.7319879888246,-74.0317126475585,24,4763.96765259
p_4498,40.7321778586735,-74.0312724670754,25,4806.71382727
p_4498,40.7322497011837,-74.0307984265638,26,4847.54528851
p_4498,40.7322656670057,-74.0298401817473,27,4928.51217012
p_4498,40.7324298781138,-74.0295896174726,28,4956.45039167
p_4498,40.7330507977276,-74.0294812653527,29,5026.0075786
p_4498,40.73586,-74.02922,30,5338.74574547
p_4498,40.73295,-74.00707,31,7237.50164665
p_4498,40.732933,-74.007072,32,7239.39702014
p_4498,40.733063376705,-74.006347192451,33,7302.31277543
p_4498,40.733220598109,-74.005356156731,34,7387.83034237
p_4498,40.733402014426,-74.004219544289,35,7485.93466155
p_4498,40.73357840425,-74.003059255928,36,7585.88604084
p_4498,40.733764107205,-74.001874426567,37,7688.07449877
p_4498,40.733902421332,-74.00081586837,38,7778.80337772
p_4498,40.734010497257,-74.000053322754,39,7844.32611419
p_4498,40.734069,-73.999656,40,7878.51193643
p_4498,40.734150259457,-73.999223186508,41,7916.16986303
p_4498,40.734249,-73.999107,42,7930.88572982
p_4498,40.734783,-73.99871,43,7999.0114535
p_4498,40.735031,-73.998542,44,8029.99285059
p_4498,40.735389,-73.998275,45,8075.70027974
p_4498,40.73603,-73.997802,46,8157.32918286
p_4498,40.736667,-73.997337,47,8238.2406543
p_4498,40.737354,-73.996849,48,8324.95510522
p_4498,40.737361,-73.996841,49,8325.98510195
p_4498,40.738044,-73.996337,50,8412.96226831
p_4498,40.738685,-73.995872,51,8494.26181924
p_4498,40.739273,-73.995445,52,8568.85737842
p_4498,40.73986,-73.995018,53,8643.35560326
p_4498,40.74044,-73.99459,54,8717.21577199
p_4498,40.741031,-73.994163,55,8792.10268274
p_4498,40.741615,-73.993736,56,8866.30913689
p_4498,40.742233,-73.993293,57,8944.47471735
p_4498,40.7429,-73.992805,58,9029.24014416
p_4498,40.742912,-73.992797,59,9030.73424789
p_4498,40.743568,-73.992317,60,9114.10352314
p_4498,40.744186,-73.991874,61,9192.26860017
p_4498,40.7448,-73.991416,62,9270.66114057
p_4498,40.745422,-73.990966,63,9349.49949092
p_4498,40.746036,-73.990516,64,9427.56050644
p_4498,40.746658,-73.990066,65,9506.39853059
p_4498,40.747276,-73.989616,66,9584.84750829
p_4498,40.747894,-73.989158,67,9663.62585769
p_4498,40.748504,-73.988708,68,9741.29851903
p_4498,40.749037136642,-73.988332652779,69,9808.45513207
p_4498,40.749114,-73.988273,70,9818.36657983
p_4499,40.73301,-74.06289,1,0
p_4499,40.7327586527011,-74.0633990714521,2,51.26743361
p_4499,40.72658881793,-74.056463791513,3,952.75896152
p_4499,40.7255151028918,-74.0562716631741,4,1073.09326266
p_4499,40.7247472143148,-74.0558630952416,5,1165.08741049
p_4499,40.7240660154229,-74.0552747574153,6,1255.60250268
p_4499,40.7231123252623,-74.0540163681807,7,1405.66626113
p_4499,40.7226540536953,-74.0530684905668,8,1500.5509766
p_4499,40.721968757483,-74.050804744428,9,1706.3929853
p_4499,40.7194983170973,-74.0426570180573,10,2447.43977937
p_4499,40.71966,-74.04245,11,2472.50585604
p_4499,40.7192912947193,-74.0421874885865,12,2519.07160667
p_4499,40.7175202092649,-74.0363997489497,13,3046.15912305
p_4499,40.7174794164882,-74.0360230023564,14,3078.31242465
p_4499,40.7175915965779,-74.0357000767033,15,3108.30679658
p_4499,40.7178057580481,-74.0355520691103,16,3135.17663997
p_4499,40.72699,-74.03383,17,4165.39868324
p_4499,40.7303279076443,-74.0328995427128,18,4544.31165163
p_4499,40.7307014547918,-74.0326754768832,19,4589.9080798
p_4499,40.7309221862113,-74.0321825320577,20,4638.22903413
p_4499,40.7309221862113,-74.0313310819053,21,4710.15648954
p_4499,40.7309947136324,-74.0254837223624,22,5204.18584221
p_4499,40.73295,-74.00707,23,6774.76821337
p_4499,40.732933,-74.007072,24,6776.66358686
p_4499,40.733063376705,-74.006347192451,25,6839.57934215
p_4499,40.733220598109,-74.005356156731,26,6925.09690909
p_4499,40.733402014426,-74.004219544289,27,7023.20122827
p_4499,40.73357840425,-74.003059255928,28,7123.15260756
p_4499,40.733764107205,-74.001874426567,29,7225.34106549
p_4499,40.733902421332,-74.00081586837,30,7316.06994444
p_4499,40.734010497257,-74.000053322754,31,7381.59268091
p_4499,40.734069,-73.999656,32,7415.77850315
p_4499,40.734150259457,-73.999223186508,33,7453.43642975
p_4499,40.734249,-73.999107,34,7468.15229654
p_4499,40.734783,-73.99871,35,7536.27802022
p_4499,40.735031,-73.998542,36,7567.25941731
p_4499,40.735389,-73.998275,37,7612.96684646
p_4499,40.73603,-73.997802,38,7694.59574958
p_4499,40.736667,-73.997337,39,7775.50722102
p_4499,40.737354,-73.996849,40,7862.22167194
p_4499,40.737361,-73.996841,41,7863.25166867
p_4499,40.738044,-73.996337,42,7950.22883503
p_4499,40.738685,-73.995872,43,8031.52838596
p_4499,40.739273,-73.995445,44,8106.12394514
p_4499,40.73986,-73.995018,45,8180.62216998
p_4499,40.74044,-73.99459,46,8254.48233871
p_4499,40.741031,-73.994163,47,8329.36924946
p_4499,40.741615,-73.993736,48,8403.57570361
p_4499,40.742233,-73.993293,49,8481.74128407
p_4499,40.7429,-73.992805,50,8566.50671088
p_4499,40.742912,-73.992797,51,8568.00081461
p_4499,40.743568,-73.992317,52,8651.37008986
p_4499,40.744186,-73.991874,53,8729.53516689
p_4499,40.7448,-73.991416,54,8807.92770729
p_4499,40.745422,-73.990966,55,8886.76605764
p_4499,40.746036,-73.990516,56,8964.82707316
p_4499,40.746658,-73.990066,57,9043.66509731
p_4499,40.747276,-73.989616,58,9122.11407501
p_4499,40.747894,-73.989158,59,9200.89242441
p_4499,40.748504,-73.988708,60,9278.56508575
p_4499,40.749037136642,-73.988332652779,61,9345.72169879
p_4499,40.749114,-73.988273,62,9355.63314655
p_4501,40.749114,-73.988273,1,0
p_4501,40.747609531294,-73.98938738623,2,191.75482622
p_4501,40.745953428053,-73.990544878296,3,400.03090966
p_4501,40.744652691968,-73.991536875641,4,567.01582091
p_4501,40.743303108639,-73.992516317444,5,738.20037744
p_4501,40.7429,-73.992805,6,789.17477067
p_4501,40.742912,-73.992797,7,790.6688744
p_4501,40.742373088497,-73.993207493393,8,859.83217961
p_4501,40.739914186254,-73.994975306885,9,1171.04925747
p_4501,40.738889921445,-73.995715596573,10,1300.84701913
p_4501,40.737975823747,-73.996414320099,11,1418.26688112
p_4501,40.737354,-73.996849,12,1496.47423912
p_4501,40.737361,-73.996841,13,1497.50423585
p_4501,40.736202622701,-73.997659249985,14,1643.5332032
p_4501,40.735126148858,-73.99848045369,15,1781.74290149
p_4501,40.734544587943,-73.99889425264,16,1855.17711514
p_4501,40.734359599612,-73.999038114086,17,1879.04510684
p_4501,40.734249,-73.999107,18,1892.63578009
p_4501,40.734096041009,-73.999482476196,19,1928.61508909
p_4501,40.733917817063,-74.00069030423,20,2032.54522461
p_4501,40.733818495684,-74.001435347221,21,2096.4401631
p_4501,40.733714009819,-74.002191152115,22,2161.33091909
p_4501,40.733615,-74.002822,23,2215.74293484
p_4501,40.73336,-74.004241,24,2338.90980223
p_4501,40.733139,-74.005828,25,2475.19707533
p_4501,40.733055,-74.006408,26,2525.07188272
p_4501,40.732933,-74.007072,27,2582.7754543
p_4501,40.73295,-74.00707,28,2584.67082779
p_4501,40.73586,-74.02922,29,4483.42672897
p_4501,40.7327230764909,-74.0297761152865,30,4834.93141775
p_4501,40.7324375291734,-74.0298920627113,31,4868.11932206
p_4501,40.7322398418488,-74.0300949707029,32,4895.97125892
p_4501,40.7320531366173,-74.0314283660575,33,5010.50195632
p_4501,40.7318334827225,-74.0320225966001,34,5066.31228232
p_4501,40.7315040005307,-74.0324139191512,35,5115.62252029
p_4501,40.7311525510644,-74.0326748008519,36,5160.44292601
p_4501,40.7307352024414,-74.0329646693768,37,5212.86019013
p_4501,40.7290338579154,-74.0335215603108,38,5407.561377
p_4501,40.72699,-74.03383,39,5636.01988897
p_4501,40.7177198112537,-74.0355320545759,40,6675.45613299
p_4501,40.7175362625768,-74.0357215788022,41,6701.37699334
p_4501,40.7174709683811,-74.0361949603523,42,6742.02650772
p_4501,40.7186817660157,-74.040132175932,43,7100.83743559
p_4501,40.7192905948899,-74.0417990795137,44,7257.0639583
p_4501,40.71966,-74.04245,45,7325.67480396
p_4501,40.73301,-74.06289,46,9601.56993682
p_4502,40.749114,-73.988273,1,0
p_4502,40.747609531294,-73.98938738623,2,191.75482622
p_4502,40.745953428053,-73.990544878296,3,400.03090966
p_4502,40.744652691968,-73.991536875641,4,567.01582091
p_4502,40.743303108639,-73.992516317444,5,738.20037744
p_4502,40.7429,-73.992805,6,789.17477067
p_4502,40.742912,-73.992797,7,790.6688744
p_4502,40.742373088497,-73.993207493393,8,859.83217961
p_4502,40.739914186254,-73.994975306885,9,1171.04925747
p_4502,40.738889921445,-73.995715596573,10,1300.84701913
p_4502,40.737975823747,-73.996414320099,11,1418.26688112
p_4502,40.737354,-73.996849,12,1496.47423912
p_4502,40.737361,-73.996841,13,1497.50423585
p_4502,40.736202622701,-73.997659249985,14,1643.5332032
p_4502,40.735126148858,-73.99848045369,15,1781.74290149
p_4502,40.734544587943,-73.99889425264,16,1855.17711514
p_4502,40.734359599612,-73.999038114086,17,1879.04510684
p_4502,40.734249,-73.999107,18,1892.63578009
p_4502,40.734096041009,-73.999482476196,19,1928.61508909
p_4502,40.733917817063,-74.00069030423,20,2032.54522461
p_4502,40.733818495684,-74.001435347221,21,2096.4401631
p_4502,40.733714009819,-74.002191152115,22,2161.33091909
p_4502,40.733615,-74.002822,23,2215.74293484
p_4502,40.73336,-74.004241,24,2338.90980223
p_4502,40.733139,-74.005828,25,2475.19707533
p_4502,40.733055,-74.006408,26,2525.07188272
p_4502,40.732933,-74.007072,27,2582.7754543
p_4502,40.733083701353,-74.007098210976,28,2599.6564861
p_4502,40.732872247403,-74.008653279762,29,2733.10130784
p_4502,40.732745969897,-74.009628578049,30,2816.67356885
p_4502,40.732581881163,-74.011002029778,31,2934.1170296
p_4502,40.732509248135,-74.014345410065,32,3216.66209269
p_4502,40.732386317208,-74.022324544983,33,3890.83362794
p_4502,40.732337446609,-74.027332272491,34,4313.89418153
p_4502,40.732314581615,-74.028609772461,35,4421.8403966
p_4502,40.732444900152,-74.029046663971,36,4461.48254129
p_4502,40.732629278578,-74.029373863693,37,4495.88013423
p_4502,40.732753822103,-74.029493744705,38,4513.02169506
p_4502,40.733757779375,-74.029407079029,39,4624.75000974
p_4502,40.734761721497,-74.029406244041,40,4736.23657476
p_4502,40.735172267698,-74.029395515205,41,4781.83623991
p_4502,40.735609944705,-74.029379799599,42,4830.45787066
p_4502,40.735730567744,-74.029347990738,43,4844.11974005
p_4502,40.735858,-74.02922,44,4861.92825027
p_4503,40.749114,-73.988273,1,0
p_4503,40.747609531294,-73.98938738623,2,191.75482622
p_4503,40.745953428053,-73.990544878296,3,400.03090966
p_4503,40.744652691968,-73.991536875641,4,567.01582091
p_4503,40.743303108639,-73.992516317444,5,738.20037744
p_4503,40.7429,-73.992805,6,789.17477067
p_4503,40.742912,-73.992797,7,790.6688744
p_4503,40.742373088497,-73.993207493393,8,859.83217961
p_4503,40.739914186254,-73.994975306885,9,1171.04925747
p_4503,40.738889921445,-73.995715596573,10,1300.84701913
p_4503,40.737975823747,-73.996414320099,11,1418.26688112
p_4503,40.737354,-73.996849,12,1496.47423912
p_4503,40.737361,-73.996841,13,1497.50423585
p_4503,40.736202622701,-73.997659249985,14,1643.5332032
p_4503,40.735126148858,-73.99848045369,15,1781.74290149
p_4503,40.734544587943,-73.99889425264,16,1855.17711514
p_4503,40.734359599612,-73.999038114086,17,1879.04510684
p_4503,40.734249,-73.999107,18,1892.63578009
p_4503,40.734096041009,-73.999482476196,19,1928.61508909
p_4503,40.733917817063,-74.00069030423,20,2032.54522461
p_4503,40.733818495684,-74.001435347221,21,2096.4401631
p_4503,40.733714009819,-74.002191152115,22,2161.33091909
p_4503,40.733615,-74.002822,23,2215.74293484
p_4503,40.73336,-74.004241,24,2338.90980223
p_4503,40.733139,-74.005828,25,2475.19707533
p_4503,40.733055,-74.006408,26,2525.07188272
p_4503,40.732933,-74.007072,27,2582.7754543
p_4503,40.73295,-74.00707,28,2584.67082779
p_4503,40.7317422594023,-74.0310407302919,29,4614.025701
p_4503,40.7316254699352,-74.0318498699669,30,4683.59767208
p_4503,40.7314574364551,-74.0324205978352,31,4735.29531672
p_4503,40.7311703249693,-74.0327521231708,32,4777.73208897
p_4503,40.730685821528,-74.0328705250768,33,4832.45738547
p_4503,40.72699,-74.03383,34,5250.80095983
p_4503,40.7177198112537,-74.0355320545759,35,6290.23720385
p_4503,40.7175362625768,-74.0357215788022,36,6316.1580642
p_4503,40.7174709683811,-74.0361949603523,37,6356.80757858
p_4503,40.7186817660157,-74.040132175932,38,6715.61850645
p_4503,40.7192905948899,-74.0417990795137,39,6871.84502916
p_4503,40.71966,-74.04245,40,6940.45587482
p_4503,40.73301,-74.06289,41,9216.35100768
p_4507,40.71271,-74.01193,1,0
p_4507,40.7126765142352,-74.0120508062551,2,10.86425783
p_4507,40.7143123757523,-74.0157465895691,3,372.14536771
p_4507,40.7149326174795,-74.0173585721882,4,524.77749786
p_4507,40.7168822457207,-74.0323671398266,5,1811.28070578
p_4507,40.7168857231406,-74.0323837127229,6,1812.73328891
p_4507,40.7173288371993,-74.0352750298008,7,2061.93832513
p_4507,40.7174870379608,-74.0354837555098,8,2086.83129897
p_4507,40.7176155758105,-74.035542459616,9,2101.94247688
p_4507,40.72699,-74.03383,10,3152.96448687
p_4507,40.7290707629666,-74.0334268772397,11,3386.52660563
p_4507,40.7297738227078,-74.0332508050502,12,3466.00472483
p_4507,40.7304309837237,-74.0330680904492,13,3540.5960873
p_4507,40.73086204892,-74.0328852462503,14,3590.89563931
p_4507,40.7312879796433,-74.0325466458839,15,3646.17105365
p_4507,40.7317006171972,-74.0321325120132,16,3703.82201238
p_4507,40.7319879888246,-74.0317126475585,17,3751.53345622
p_4507,40.7321778586735,-74.0312724670754,18,3794.2796309
p_4507,40.7322497011837,-74.0307984265638,19,3835.11109214
p_4507,40.7322656670057,-74.0298401817473,20,3916.07797375
p_4507,40.7324298781138,-74.0295896174726,21,3944.0161953
p_4507,40.7330507977276,-74.0294812653527,22,4013.57338223
p_4507,40.73586,-74.02922,23,4326.3115491
p_5502,40.712712590898,-74.011934986786,1,0
p_5502,40.714717980837,-74.018992926025,2,636.60492274
p_5502,40.71676584561,-74.032384409718,3,1790.75280663
p_5502,40.71688127491,-74.032370388886,4,1803.62567858
p_5502,40.716985659135,-74.033004,5,1858.40262636
p_5502,40.717103659063,-74.034013635582,6,1944.71126352
p_5502,40.71718631805,-74.034430195106,7,1981.08522869
p_5502,40.717359658907,-74.035502982803,8,2073.75035994
p_5502,40.717691868262,-74.036997245369,9,2205.28499431
p_5502,40.71828405336,-74.038800813492,10,2371.25723731
p_5502,40.719114776211,-74.041383186508,11,2608.14713621
p_5502,40.719365420216,-74.04208958532,12,2674.00264257
p_5502,40.719501038638,-74.04248735582,13,2710.83073233
p_5502,40.719521367428,-74.042583915344,14,2719.29569785
p_5502,40.72023270102,-74.044888461655,15,2929.42085168
p_5502,40.720570307705,-74.046021222229,16,3032.20855164
p_5502,40.720777773469,-74.046642720238,17,3089.55035456
p_5502,40.720871284058,-74.046969949738,18,3119.08352217
p_5502,40.721220868693,-74.048048520515,19,3218.13520882
p_5502,40.721478272358,-74.04883172422,20,3290.21682034
p_5502,40.721855128004,-74.050086903458,21,3404.22332192
p_5502,40.721989506993,-74.050665843269,22,3455.3623412
p_5502,40.722158936357,-74.051474970917,23,3526.26552195
p_5502,40.722485382644,-74.052593531769,24,3627.48410631
p_5502,40.722702223978,-74.053275294998,25,3689.91497231
p_5502,40.722949073394,-74.053761175949,26,3739.27662184
p_5502,40.723595546896,-74.054626999367,27,3841.76918129
p_5502,40.724334099715,-74.055559923309,28,3955.51811627
p_5502,40.724810972429,-74.055908966301,29,4016.13103513
p_5502,40.725367964914,-74.056308246063,30,4086.58467573
p_5502,40.72576231321,-74.056475474236,31,4132.5990626
p_5502,40.72621902499,-74.056466447113,32,4183.32200691
p_5502,40.726589114836,-74.056683141556,33,4228.31291896
p_5502,40.727285736153,-74.057337761269,34,4323.40675471
p_5502,40.728074608595,-74.058199888916,35,4437.33202732
p_5502,40.728996040744,-74.059223466965,36,4571.30010716
p_5502,40.729685857581,-74.060038214325,37,4674.28277103
p_5502,40.730470459438,-74.060979171333,38,4792.223746
p_5502,40.73101261602,-74.061599613136,39,4872.04756864
p_5502,40.731721421853,-74.062386993424,40,4975.09983912
p_5502,40.732784092169,-74.063192363786,41,5111.31468345
p_5502,40.732868116783,-74.063189407409,42,5120.64885304
p_5502,40.733086298625,-74.06375710318,43,5174.37741883
p_5502,40.733322064077,-74.064143341278,44,5216.2102181
p_5502,40.73417883171,-74.065110509262,45,5341.61749007
p_5502,40.735111160405,-74.066226180565,46,5481.62092117
p_5502,40.735597567255,-74.06711487368,47,5574.10285165
p_5502,40.736104381468,-74.068257652779,48,5685.8425072
p_5502,40.736700676463,-74.070002373016,49,5847.41099487
p_5502,40.737100641701,-74.071548932541,50,5985.39122748
p_5502,40.737393254118,-74.072587923943,51,6078.97561941
p_5502,40.737809327209,-74.07402179895,52,6208.60608538
p_5502,40.738308146789,-74.075843579376,53,6372.15361557
p_5502,40.738662805642,-74.077392514572,54,6508.78664925
p_5502,40.739392035271,-74.0802772864,55,6765.55640618
p_5502,40.739536712222,-74.08087736113,56,6818.72746171
p_5502,40.739759658551,-74.081621842606,57,6886.30864108
p_5502,40.740535374845,-74.084286785736,58,7127.32256632
p_5502,40.74096054812,-74.08604236113,59,7282.94093206
p_5502,40.741163617572,-74.087229666687,60,7385.72920855
p_5502,40.741246142365,-74.088572310867,61,7499.50319606
p_5502,40.741308404004,-74.089999374344,62,7620.23585013
p_5502,40.74139357879,-74.092416731491,63,7824.63259434
p_5502,40.74144227644,-74.095908161346,64,8119.57929877
p_5502,40.741680660317,-74.103528751343,65,8763.78100945
p_5502,40.74211291193,-74.108214904785,66,9162.48543418
p_5502,40.742624891832,-74.112539589996,67,9532.15499219
p_5502,40.74309802004,-74.117642653412,68,9966.35696068
p_5502,40.743176565871,-74.121987253967,69,10333.40976305
p_5502,40.743303920181,-74.126289481506,70,10697.05460155
p_5502,40.742684482783,-74.134419333313,71,11387.14810571
p_5502,40.742189836773,-74.14127820636,72,11969.05958198
p_5502,40.741794079169,-74.146624015808,73,12422.71335326
p_5502,40.741538244471,-74.149229936462,74,12644.64274032
p_5502,40.741326894692,-74.15133278833,75,12823.80015474
p_5502,40.740832630878,-74.153033757919,76,12977.59771543
p_5502,40.740285323582,-74.154069539673,77,13084.12394653
p_5502,40.739891471501,-74.154748541,78,13156.24974743
p_5502,40.73958680951,-74.155316525131,79,13214.95428935
p_5502,40.739306934569,-74.155827203705,80,13268.11972719
p_5502,40.739380096405,-74.155762830688,81,13277.89584841
p_5502,40.738877576581,-74.156573951065,82,13366.25888375
p_5502,40.737598400232,-74.158985498703,83,13614.59495198
p_5502,40.737221210054,-74.159736805588,84,13690.63342455
p_5502,40.736566616787,-74.160971265915,85,13817.74382456
p_5502,40.73590366022,-74.162094709045,86,13937.84963248
p_5502,40.735625221034,-74.162546313522,87,13986.95434945
p_5502,40.735266195273,-74.163075271858,88,14046.83758407
p_5502,40.734937036291,-74.163545989441,89,14100.84795929
p_5502,40.73471097777,-74.163874887589,90,14138.29198367
p_902145,40.73301,-74.06289,1,0
p_902145,40.7327586527011,-74.0633990714521,2,51.26743361
p_902145,40.72658881793,-74.056463791513,3,952.75896152
p_902145,40.7255151028918,-74.0562716631741,4,1073.09326266
p_902145,40.7247472143148,-74.0558630952416,5,1165.08741049
p_902145,40.7240660154229,-74.0552747574153,6,1255.60250268
p_902145,40.7231123252623,-74.0540163681807,7,1405.66626113
p_902145,40.7226540536953,-74.0530684905668,8,1500.5509766
p_902145,40.721968757483,-74.050804744428,9,1706.3929853
p_902145,40.7194983170973,-74.0426570180573,10,2447.43977937
p_902145,40.71966,-74.04245,11,2472.50585604
p_902145,40.7192912947193,-74.0421874885865,12,2519.07160667
p_902145,40.7175202092649,-74.0363997489497,13,3046.15912305
p_902145,40.7174794164882,-74.0360230023564,14,3078.31242465
p_902145,40.7175915965779,-74.0357000767033,15,3108.30679658
p_902145,40.7178057580481,-74.0355520691103,16,3135.17663997
p_902145,40.72699,-74.03383,17,4165.39868324
p_902145,40.7290707629666,-74.0334268772397,18,4398.960802
p_902145,40.7297738227078,-74.0332508050502,19,4478.4389212
p_902145,40.7304309837237,-74.0330680904492,20,4553.03028367
p_902145,40.73086204892,-74.0328852462503,21,4603.32983568
p_902145,40.7312879796433,-74.0325466458839,22,4658.60525002
p_902145,40.7317006171972,-74.0321325120132,23,4716.25620875
p_902145,40.7319879888246,-74.0317126475585,24,4763.96765259
p_902145,40.7321778586735,-74.0312724670754,25,4806.71382727
p_902145,40.7322497011837,-74.0307984265638,26,4847.54528851
p_902145,40.7322656670057,-74.0298401817473,27,4928.51217012
p_902145,40.7324298781138,-74.0295896174726,28,4956.45039167
p_902145,40.7330507977276,-74.0294812653527,29,5026.0075786
p_902145,40.73586,-74.02922,30,5338.74574547
p_902145,40.73295,-74.00707,31,7237.50164665
p_902145,40.7329687924524,-74.007062670181,32,7239.67844304
p_902145,40.73735,-73.99684,33,8230.82708789
p_902145,40.74912,-73.98827,34,9724.91495467
p_902146,40.74912,-73.98827,1,0
p_902146,40.73735,-73.99684,2,1494.08786678
p_902146,40.73295,-74.00707,3,2486.80159335
p_902146,40.73586,-74.02922,4,4385.55749453
p_902146,40.7327230764909,-74.0297761152865,5,4737.06218331
p_902146,40.7324375291734,-74.0298920627113,6,4770.25008762
p_902146,40.7322398418488,-74.0300949707029,7,4798.10202448
p_902146,40.7320531366173,-74.0314283660575,8,4912.63272188
p_902146,40.7318334827225,-74.0320225966001,9,4968.44304788
p_902146,40.7315040005307,-74.0324139191512,10,5017.75328585
p_902146,40.7311525510644,-74.0326748008519,11,5062.57369157
p_902146,40.7307352024414,-74.0329646693768,12,5114.99095569
p_902146,40.7290338579154,-74.0335215603108,13,5309.69214256
p_902146,40.72699,-74.03383,14,5538.15065453
p_902146,40.7177198112537,-74.0355320545759,15,6577.58689855
p_902146,40.7175362625768,-74.0357215788022,16,6603.5077589
